scopeKind	name	qualifiedName	nestingDepth	parentScopeLinkHash	pyModuleLinkHash	ownerKind	ownerHash	isNested	isOptimized	hasChildren	symtableId	usesWildcardImport	isGenerator	isCoroutine	declaresGlobal	declaresNonlocal	filePath	startLine	startColumn	endLine	endColumn	scopeOrdinal	serviceVersionLinkHash	pyScopeUniqueHash
FUNCTION	build	core.factory.Builder.build	2	PY_SCOPE_872cde7e4bd17ab3b8bc1e061ffb847c	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	METHOD	PY_METHOD_4e91b430ca727895aa1cd3776fc03e54	false	true	false	5	false	false	false	false	false	core/factory.py	21	4	23	32	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_d4a546f62e9bdfe27fe752c3a360636a
CLASS	TypedBuilder	core.factory.TypedBuilder	1	PY_SCOPE_1a66b4df14c55812e96bca2cde6ce7be	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	TYPE	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	false	false	true	6	false	false	false	false	false	core/factory.py	26	0	29	47	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_606e6a856ac765bd78cfdfdc6f5c1df8
FUNCTION	build	core.factory.TypedBuilder.build	2	PY_SCOPE_606e6a856ac765bd78cfdfdc6f5c1df8	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	METHOD	PY_METHOD_5a09ae9b62212b370ffe2ccd419cd026	false	true	false	7	false	false	false	false	false	core/factory.py	27	4	29	47	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_344696e07e745ee4ea6927e6867287f5
MODULE	top	services	0		PY_MODULE_79f94e1feca2b14402365d6b037aa2b0	MODULE	PY_MODULE_79f94e1feca2b14402365d6b037aa2b0	false	false	false	0	false	false	false	false	false	services/__init__.py	0	0	1	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_6b50777482245a1a4d12a9c4e1e842f9
MODULE	top	services.consumer	0		PY_MODULE_774333793bea69d5a3272a3a6a444e6f	MODULE	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	false	false	true	0	false	false	false	false	false	services/consumer.py	0	0	50	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf
FUNCTION	local_from_constructor	services.consumer.local_from_constructor	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_a2047fc142658e71bc0922b866956fee	false	true	false	1	false	false	false	false	false	services/consumer.py	10	0	12	23	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_129c3ab2026fb54aa84df8615a07722c
FUNCTION	local_from_module_function	services.consumer.local_from_module_function	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_0f9364c1f0cad2d880d4d26bc85e801e	false	true	false	2	false	false	false	false	false	services/consumer.py	15	0	17	23	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_d0317c3794a8d1b8b2b61d2be68d3d7f
FUNCTION	local_from_classmethod	services.consumer.local_from_classmethod	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_f33c64fd920235565cc59cec041d80cc	false	true	false	3	false	false	false	false	false	services/consumer.py	20	0	22	26	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_44274049ced0d3ff8f3f7ddd402b4d54
FUNCTION	local_reassigned_same_type	services.consumer.local_reassigned_same_type	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_e4869dc8c57fbd22abd3fb43f6b7c899	false	true	false	4	false	false	false	false	false	services/consumer.py	25	0	28	23	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_82fbe6070bd079b52c30666f54b90851
FUNCTION	local_chain	services.consumer.local_chain	1	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f	METHOD	PY_METHOD_23d191e47abf73ad0654887b883f6a0c	false	true	false	5	false	false	false	false	false	services/consumer.py	31	0	34	62	4	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_a8c96ec79443474cdeeba217a92f7d09
