importKind	importedPath	packageOrTypeName	simpleName	filePath	lineNumber	isStatic	isWildcard	isModuleImport	relativeLevel	originalName	aliasName	resolvedModuleLinkHash	resolvedTargetKind	resolvedTargetHash	isExternalTarget	distributionName	isTypeCheckingOnly	isConditional	pyScopeLinkHash	pyModuleLinkHash	bindingLinkHash	serviceVersionLinkHash	pyImportUniqueHash
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	self_and_attribute_chains.py	11	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_d70ec0da77de71380df4cd694bdfd27f	PY_MODULE_47972cfb252e2f1acae1bbbe05a0ad79	PY_BINDING_2c4646d2051e9935402b56526062d657	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_0d1ad6c2976bcb43b850b6544450a92e
FROM_MEMBER	typing.Optional	typing	Optional	type_references_and_narrowing.py	10	false	false	false	0	Optional			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_6dac15f11904da5a9dc15183a5a13d56	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_9286be96692377fbf6a7c5e7e9d09817
FROM_MEMBER	typing.Union	typing	Union	type_references_and_narrowing.py	10	false	false	false	0	Union			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_416cc0f08e5944ae23a537c81b892e87	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_69432b11d974cbdf7e64fd67e5dec8ef
FROM_MEMBER	typing.List	typing	List	type_references_and_narrowing.py	10	false	false	false	0	List			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_f41434f27a276fb31ac16c30172ec918	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_ce0f5fc348719ebb01309f907c69e11d
FROM_MEMBER	typing.Dict	typing	Dict	type_references_and_narrowing.py	10	false	false	false	0	Dict			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_e4f90d952df06a478fba4f72386be7b7	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_c3218fd0d701f786ec9dc69de3a86343
FROM_MEMBER	typing.Callable	typing	Callable	type_references_and_narrowing.py	10	false	false	false	0	Callable			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_b5c8fd99cedfc9eae881d10be8075fa2	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_2788e1e47f7cee5ddeccfa87e9961a1a
FROM_MEMBER	typing.Any	typing	Any	type_references_and_narrowing.py	10	false	false	false	0	Any			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_9e57a4569a17b057b00330f87a84ac72	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_223cfe4e2ebd772e4a65b782d152bb25
FROM_MEMBER	typing.cast	typing	cast	type_references_and_narrowing.py	10	false	false	false	0	cast			UNRESOLVED		true		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_0fa57b02ac3577ab3830ac769c8ab6ee	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_f90721b2248db6775db6148b50a67950
FROM_MEMBER	pkg.models.Account	pkg.models	Account	type_references_and_narrowing.py	12	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_548108b187be35252b61c2fecc7dd0ac	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_8fc416c4add786cb2613bacdd7729b99
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	type_references_and_narrowing.py	12	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_051ab2aad529d232befad74d9a3eed71	PY_MODULE_ff0e72e19cc67a1292b8a3fd0cadecff	PY_BINDING_83593c0548ca92ea164b73a03dd07872	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_18f28e10d6ea00c14998226b0c98e388
